"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"1.95","901.4003","0.1623625","0.01271566","1.95","722.2112","0.1624125","0.01271566","1.95","473.6042","0.162375","0.003178914"
"1.96","905.1037","0.1631875","0.01309713","1.96","723.8134","0.16325","0.01271566","1.96","475.0315","0.163225","0.002733866"
"1.97","908.7785","0.1640375","0.01309713","1.97","725.3997","0.164075","0.01309713","1.97","476.4398","0.164075","0.002733866"
"1.98","912.4534","0.1648875","0.01309713","1.98","726.986","0.1648875","0.01309713","1.98","477.8385","0.1649125","0.002733866"
"1.99","916.1504","0.165725","0.01271566","1.99","728.5786","0.1657125","0.01309713","1.99","479.2976","0.16575","0.002733866"
"2","919.9142","0.16655","0.01271566","2","730.1585","0.1665375","0.01309713","2","480.8299","0.166575","0.003178914"
"2.01","923.748","0.1673875","0.01271566","2.01","731.7098","0.1673625","0.01309713","2.01","482.3557","0.1673875","0.003178914"
"2.02","927.6231","0.1682125","0.01271566","2.02","733.2261","0.1681875","0.0134786","2.02","483.8085","0.168225","0.003178914"
"2.03","931.476","0.169025","0.01271566","2.03","734.7266","0.16905","0.0134786","2.03","485.2136","0.1690625","0.003178914"
"2.04","935.2653","0.169875","0.01271566","2.04","736.2206","0.1698875","0.01309713","2.04","486.6091","0.1699","0.003560384"
"2.05","938.975","0.1707","0.0134786","2.05","737.7307","0.1707375","0.0134786","2.05","488.0079","0.1707375","0.004323324"
"2.06","942.6467","0.1715375","0.01392365","2.06","739.2756","0.171575","0.01392365","2.06","489.4416","0.1715625","0.004323324"
